ISSN,全名,中文全名,年文章量,投稿难易度,初审周期,主页
1432-7643,soft computing,软计算,539,容易,"很快,2-3周",https://www.springer.com/engineering/computational+intelligence+and+complexity/journal/500
0920-654X,journal of computer-aided molecular design,翻译出错!,225,较易,平均2月,http://www.medsci.cn/sci/url.do?id=96aa3639&q=w
1062-936X,sar and qsar in environmental research,环境研究中的sar和qsar,273,较易,"一般,6-12周",https://www.tandfonline.com/toc/gsar20/current
0045-7930,computers & fluids,计算机和流体,309,较易,"较快,2-4周",https://www.elsevier.com/journals/computers-and-fluids/0045-7930
0138-9130,scientometrics,科学计量学,822,命中率约75%,平均2月,https://link.springer.com/journal/11192
0010-4825,computers in biology and medicine,生物与医学计算机,1202,命中率约41.66%,平均3月,https://www.elsevier.com/journals/computers-in-biology-and-medicine/0010-4825
1569-190X,simulation modelling practice and theory,模拟建模实践与理论,96,较易,"较慢,6-12周",https://www.elsevier.com/journals/simulation-modelling-practice-and-theory/1569-190X
0278-0070,ieee transactions on computer-aided design of integrated circuits and systems,IEEE集成电路与系统计算机辅助设计汇刊,333,容易,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=43
1094-3420,international journal of high performance computing applications,国际高性能计算应用杂志,41,较易,>12周，或约稿,https://journals.sagepub.com/home/hpc
1875-6891,INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,国际计算智能系统杂志,96,命中率约25%,平均24月,http://www.medsci.cn/sci/url.do?id=45ee10301&q=w
0951-192X,international journal of computer integrated manufacturing,国际计算机集成制造杂志,186,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=cc991841&q=w
1025-5842,Computer Methods in Biomechanics and Biomedical Engineering,生物力学与生物医学工程中的计算机方法,534,命中率约75%,平均12月,https://www.tandfonline.com/loi/gcmb20
0140-0118,medical & biological engineering & computing,医学与生物工程与计算,458,命中率约50%,平均3月,https://link.springer.com/journal/11517
1868-1743,MOLECULAR INFORMATICS,分子信息学,180,,"一般,3-8周",https://onlinelibrary.wiley.com/journal/18681751
0177-0667,engineering with computers,计算机工程,126,容易,"偏慢,4-8周",https://link.springer.com/journal/366
1877-7503,JOURNAL OF COMPUTATIONAL SCIENCE,计算科学杂志,141,,"偏慢,4-8周",https://www.journals.elsevier.com/journal-of-computational-science/
1093-3263,journal of molecular graphics & modelling,分子图形与建模杂志,1012,较易,"超快,1-2周",https://www.journals.elsevier.com/journal-of-molecular-graphics-and-modelling/
1939-1382,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,IEEE学习技术汇刊,46,命中率约50%,平均2月,http://ieee-edusociety.org/about/ieee-transactions-learning-technologies
0887-3801,journal of computing in civil engineering,土木工程计算杂志,205,容易,"一般,3-6周",https://ascelibrary.org/journal/jccee5
1464-7141,journal of hydroinformatics,水文信息学杂志,234,命中率约25%,平均3月,http://www.medsci.cn/sci/url.do?id=fab33883&q=w
1742-2876,Digital Investigation,数字调查,62,较易,"较慢,6-12周",https://www.journals.elsevier.com/digital-investigation/
0219-6220,international journal of information technology & decision making,国际信息技术与决策杂志,67,较易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijitdm
0045-7906,computers & electrical engineering,计算机与电气工程,518,命中率约50%,平均6月,http://www.medsci.cn/sci/url.do?id=e4ba1691&q=w
0271-2091,international journal for numerical methods in fluids,国际流体数值方法杂志,343,命中率约37.5%,平均2月,https://onlinelibrary.wiley.com/journal/10970363
1598-8198,computers and concrete,计算机和混凝土,758,容易,"很快,2-3周",http://technopress.kaist.ac.kr/?journal=cac&subpage=6
1865-0473,Earth Science Informatics,地球科学信息学,80,命中率约75%,平均1月,https://link.springer.com/journal/12145
1530-9827,journal of computing and information science in engineering,工程计算与信息科学杂志,110,命中率约27.5%,平均15月,http://computingengineering.asmedigitalcollection.asme.org/issues.aspx
0167-6393,speech communication,言语交际,246,容易,"一般,3-6周",https://www.journals.elsevier.com/speech-communication/
1610-2940,JOURNAL OF MOLECULAR MODELING,分子模型杂志,1168,命中率约75%,平均1月,http://www.medsci.cn/sci/url.do?id=573b7556&q=w
2167-6461,Big Data,大数据,31,命中率约50%,平均2月,https://www.ibm.com/analytics/hadoop/big-data-analytics
0378-4754,mathematics and computers in simulation,数学与计算机模拟,290,容易,"一般,3-6周",https://www.journals.elsevier.com/mathematics-and-computers-in-simulation/
1063-293X,concurrent engineering-research and applications,并行工程研究与应用,54,容易,"较慢,6-12周",https://journals.sagepub.com/home/cer
1091-9392,journal of organizational computing and electronic commerce,组织计算与电子商务杂志,21,容易,>12周，或约稿,https://www.tandfonline.com/toc/hoce20/current
1476-9271,computational biology and chemistry,计算生物学与化学,361,容易,"较快,2-4周",https://www.elsevier.com/journals/computational-biology-and-chemistry/1476-9271
1091-9856,informs journal on computing,通知计算机杂志,48,容易,>12周，或约稿,https://pubsonline.informs.org/journal/ijoc
1359-4338,VIRTUAL REALITY,虚拟现实,46,容易,>12周，或约稿,https://link.springer.com/journal/10055
2073-4859,R Journal,R期刊,160,容易,"一般,3-8周",https://journal.r-project.org/
0891-2017,空,翻译出错!,空,空,空,空
1096-4290,international journal of rf and microwave computer-aided engineering,国际射频与微波计算机辅助工程杂志,194,命中率约75%,平均3月,https://onlinelibrary.wiley.com/journal/1099047x
1747-7778,JOURNAL OF SIMULATION,模拟学报,35,容易,>12周，或约稿,https://www.springer.com/business+&+management/operations+research/journal/41273
1066-5277,journal of computational biology,计算生物学杂志,428,容易,"较快,2-4周",https://home.liebertpub.com/publications/journal-of-computational-biology/31/overview
0167-9473,computational statistics & data analysis,计算统计与数据分析,376,容易,"较快,2-4周",https://www.journals.elsevier.com/computational-statistics-and-data-analysis/
0264-4401,engineering computations,工程计算,340,容易,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=c0742169&q=w
0257-0130,queueing systems,排队系统,46,容易,>12周，或约稿,https://www.springer.com/business+&+management/operations+research/journal/11134
1061-3773,computer applications in engineering education,计算机在工程教育中的应用,152,容易,"一般,3-8周",https://onlinelibrary.wiley.com/journal/10990542
1521-9615,computing in science & engineering,科学与工程计算,76,容易,"较慢,6-12周",https://www.computer.org/csdl/mags/cs/2014/01/index.html
1538-2931,cin-computers informatics nursing,计算机信息护理,257,容易,"一般,3-6周",https://journals.lww.com/cinjournal/pages/default.aspx
0890-0604,ai edam-artificial intelligence for engineering design analysis and manufacturing,用于工程设计分析和制造的人工智能,74,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=f634255&q=w
0929-8215,journal of new music research,新音乐研究杂志,25,容易,>12周，或约稿,https://www.tandfonline.com/toc/nnmr20/current
1343-8875,journal of visualization,可视化杂志,236,容易,"一般,3-6周",https://link.springer.com/journal/12650
0037-5497,simulation-transactions of the society for modeling and simulation international,国际模拟与仿真学会模拟交易,79,容易,"较慢,6-12周",https://journals.sagepub.com/home/sim
1049-3301,ACM Transactions on Modeling and Computer Simulation,美国计算机学会模型和计算机仿真汇刊,46,容易,>12周，或约稿,https://tomacs.acm.org/
1382-6905,journal of combinatorial optimization,组合优化杂志,344,容易,"较快,2-4周",https://link.springer.com/journal/10878
0129-1831,international journal of modern physics c,国际现代物理杂志C,300,命中率约27.5%,平均13月,https://www.worldscientific.com/worldscinet/ijmpc
0094-9655,journal of statistical computation and simulation,统计计算与模拟杂志,428,容易,"较快,2-4周",https://www.tandfonline.com/toc/gscs20/current
1932-1864,Statistical Analysis and Data Mining,统计分析与数据挖掘,60,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/19321872
1573-4099,CURRENT COMPUTER-AIDED DRUG DESIGN,当前计算机辅助药物设计,64,容易,"较慢,6-12周",https://benthamscience.com/journal/index.php?journalID=ccadd
0925-9724,COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING,计算机支持的协同工作——协同计算杂志,30,容易,>12周，或约稿,https://link.springer.com/journal/10606
1574-020X,language resources and evaluation,语言资源与评价,41,容易,>12周，或约稿,https://link.springer.com/journal/10579
1381-298X,COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,计算与数学组织理论,54,容易,"较慢,6-12周",https://link.springer.com/journal/10588
1387-3954,mathematical and computer modelling of dynamical systems,动力系统的数学与计算机建模,74,容易,"较慢,6-12周",https://www.tandfonline.com/toc/nmcm20/current
0148-9267,computer music journal,计算机音乐杂志,35,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/comj
0218-2130,international journal on artificial intelligence tools,国际人工智能工具杂志,56,容易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijait
0332-1649,COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,国际电工与电子工程计算与数学杂志,270,容易,"一般,3-6周",https://www.emeraldinsight.com/journal/compel
1556-4673,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,翻译出错!,26,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=de3113049&q=w
0938-1279,applicable algebra in engineering communication and computing,工程通信与计算中的应用代数,64,容易,"较慢,6-12周",https://www.springer.com/computer/theoretical+computer+science/journal/200
1939-1374,IEEE Transactions on Services Computing,IEEE服务计算汇刊,78,,"较慢,6-12周",https://www.computer.org/web/tsc
1545-5971,ieee transactions on dependable and secure computing,关于可靠和安全计算的IEEE事务,55,一般,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8858
0730-0301,acm transactions on graphics,ACM图形事务,248,很难,"一般,3-6周",https://tog.acm.org/
1084-8045,journal of network and computer applications,网络与计算机应用杂志,269,较易,"一般,3-6周",http://www.medsci.cn/sci/url.do?id=2a354101&q=w
1520-9210,ieee transactions on multimedia,IEEE多媒体汇刊,439,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6046
0098-5589,ieee transactions on software engineering,IEEE软件工程汇刊,117,一般,"偏慢,4-8周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=32
0965-9978,advances in engineering software,工程软件进展,234,较易,"一般,3-6周",https://www.elsevier.com/journals/advances-in-engineering-software/0965-9978
1077-2626,ieee transactions on visualization and computer graphics,IEEE可视化与计算机图形汇刊,244,命中率约25%,平均3月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=2945
0001-0782,communications of the acm,ACM的通信,307,较难,"较快,2-4周",https://cacm.acm.org/
0010-4485,computer-aided design,计算机辅助设计,87,较易,"较慢,6-12周",https://www.elsevier.com/journals/computer-aided-design/0010-4485
1382-3256,empirical software engineering,经验软件工程,90,较易,"较慢,6-12周",https://link.springer.com/journal/10664
0098-3500,acm transactions on mathematical software,数学软件交流,92,较易,"较慢,6-12周",https://toms.acm.org/
0740-7459,ieee software,IEEE软件,117,较易,"偏慢,4-8周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=52
0018-9529,ieee transactions on reliability,IEEE可靠性事务,202,命中率约25%,平均6月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=24
0025-5610,mathematical programming,数学规划,212,较易,"一般,3-6周",https://link.springer.com/journal/10107
0950-5849,information and software technology,信息与软件技术,110,较易,"偏慢,4-8周",https://www.journals.elsevier.com/information-and-software-technology
1086-4415,international journal of electronic commerce,国际电子商务杂志,24,较易,>12周，或约稿,https://www.ijec-web.org/
1936-4954,SIAM JOURNAL ON IMAGING SCIENCES,暹罗影像科学杂志,304,,"较快,2-4周",https://www.siam.org/Publications/Journals/SIAM-Journal-on-Imaging-Sciences-SIIMS
0164-1212,journal of systems and software,系统与软件杂志,219,命中率约50%,平均3月,https://www.elsevier.com/journals/journal-of-systems-and-software/0164-1212
0262-8856,image and vision computing,图像与视觉计算,337,命中率约20%,平均6月,https://www.journals.elsevier.com/image-and-vision-computing/
1569-190X,simulation modelling practice and theory,模拟建模实践与理论,96,较易,"较慢,6-12周",https://www.elsevier.com/journals/simulation-modelling-practice-and-theory/1569-190X
0167-7055,computer graphics forum,计算机图形论坛,253,容易,"一般,3-6周",https://onlinelibrary.wiley.com/journal/14678659
1551-6857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,多媒体计算通信与应用交流,62,较易,"较慢,6-12周",https://tomm.acm.org/
1049-331X,acm transactions on software engineering and methodology,ACM软件工程与方法学汇刊,13,较易,>12周，或约稿,https://tosem.acm.org/
0018-9162,computer,计算机,216,容易,"一般,3-6周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=2
1089-7801,ieee internet computing,IEEE互联网计算,79,较易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4236
0924-9907,journal of mathematical imaging and vision,数学成像与视觉杂志,150,较易,"一般,3-8周",https://link.springer.com/journal/10851
0272-1732,ieee micro,IEEE微,68,较易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=40
1070-986X,ieee multimedia,ieee多媒体杂志,46,较易,>12周，或约稿,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=93
1477-8424,computer languages systems & structures,计算机语言系统和结构,41,较易,>12周，或约稿,https://www.journals.elsevier.com/computer-languages-systems-and-structures/
1047-3203,journal of visual communication and image representation,视觉传达与图像表示杂志,191,容易,"一般,3-8周",https://www.journals.elsevier.com/journal-of-visual-communication-and-image-representation/
0928-8910,AUTOMATED SOFTWARE ENGINEERING,自动化软件工程,28,较易,>12周，或约稿,https://link.springer.com/journal/10515
0947-3602,requirements engineering,需求工程,24,较易,>12周，或约稿,https://link.springer.com/journal/766
0004-5411,journal of the acm,ACM杂志,40,较易,>12周，或约稿,https://jacm.acm.org/
1533-5399,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,互联网技术交流,50,较易,"较慢,6-12周",https://toit.acm.org/
1619-1366,SOFTWARE AND SYSTEMS MODELING,软件和系统建模,56,较易,"较慢,6-12周",http://sosym.org/
1615-5262,INTERNATIONAL JOURNAL OF INFORMATION SECURITY,国际信息安全杂志,37,命中率约75%,平均1月,https://www.springer.com/computer/security+and+cryptology/journal/10207
0272-1716,ieee computer graphics and applications,IEEE计算机图形与应用,80,较易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=38
1520-9202,IT PROFESSIONAL,信息技术专业,150,,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=b90d11930&q=w
0963-9314,software quality journal,软件质量期刊,42,较易,>12周，或约稿,https://www.springer.com/computer/swe/journal/11219
0960-0833,software testing verification & reliability,软件测试验证与可靠性,21,较易,>12周，或约稿,https://onlinelibrary.wiley.com/journal/10991689
1380-7501,multimedia tools and applications,多媒体工具和应用,2393,命中率约50%,平均6月,https://www.springer.com/computer/information+systems+and+applications/journal/11042
0167-8396,computer aided geometric design,计算机辅助几何设计,102,较易,"偏慢,4-8周",https://www.journals.elsevier.com/computer-aided-geometric-design/
0065-2458,advances in computers,计算机进展,18,较易,>12周，或约稿,https://www.elsevier.com/books/book-series/advances-in-computers
1556-4681,ACM Transactions on Knowledge Discovery from Data,ACM数据知识发现事务,27,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=9bbb11723&q=w
0378-4754,mathematics and computers in simulation,数学与计算机模拟,290,容易,"一般,3-6周",https://www.journals.elsevier.com/mathematics-and-computers-in-simulation/
0920-5489,computer standards & interfaces,计算机标准和接口,96,容易,"较慢,6-12周",https://www.journals.elsevier.com/computer-standards-and-interfaces/
0006-3835,BIT NUMERICAL MATHEMATICS,钻头数值数学,102,容易,"偏慢,4-8周",https://link.springer.com/journal/10543
1359-4338,VIRTUAL REALITY,虚拟现实,46,容易,>12周，或约稿,https://link.springer.com/journal/10055
1007-0214,TSINGHUA SCIENCE AND TECHNOLOGY,清华科技,128,容易,"偏慢,4-8周",http://qhdy.chinajournal.net.cn/WKE/WebPublication/index.aspx?mid=qhdy
1570-8268,journal of web semantics,网络语义学杂志,23,容易,>12周，或约稿,https://www.journals.elsevier.com/journal-of-web-semantics/
1058-9244,Scientific Programming,科学规划,77,容易,"较慢,6-12周",https://www.hindawi.com/journals/sp/
0038-0644,software-practice & experience,软件实践与经验,93,命中率约75%,平均6月,https://onlinelibrary.wiley.com/journal/1097024x
0163-5808,sigmod record,西格莫德唱片,28,容易,>12周，或约稿,https://sigmodrecord.org/
1540-7993,ieee security & privacy,IEEE安全与隐私,93,容易,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8013
0097-8493,computers & graphics-uk,英国计算机与图形,90,容易,"较慢,6-12周",https://www.journals.elsevier.com/computers-and-graphics/
1055-6788,optimization methods & software,优化方法与软件,126,命中率约75%,平均2月,https://www.tandfonline.com/toc/goms20/current
2047-7473,JOURNAL OF SOFTWARE-EVOLUTION AND PROCESS,软件进化与过程杂志,62,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/20477481
1559-1131,ACM TRANSACTIONS ON THE WEB,ACM网上交易,26,容易,>12周，或约稿,https://tweb.acm.org/
1539-9087,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,嵌入式计算系统的ACM事务,163,容易,"一般,3-8周",https://tecs.acm.org/
1386-145X,world wide web-internet and web information systems,万维网互联网和网络信息系统,65,容易,"较慢,6-12周",https://www.springer.com/computer/database+management+&+information+retrieval/journal/11280
1532-0626,concurrency and computation-practice & experience,并发与计算实践与经验,399,容易,"较快,2-4周",https://onlinelibrary.wiley.com/journal/15320634
2095-2228,FRONTIERS OF COMPUTER SCIENCE,计算机科学前沿,81,容易,"较慢,6-12周",https://www.springer.com/computer/journal/11704
1433-2779,INTERNATIONAL JOURNAL ON SOFTWARE TOOLS FOR TECHNOLOGY TRANSFER,翻译出错!,42,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=967913042&q=w
1741-1106,INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES,国际网络与网格服务杂志,23,容易,>12周，或约稿,https://www.inderscience.com/jhome.php?jcode=ijwgs
0948-695X,journal of universal computer science,通用计算机科学杂志,50,容易,"较慢,6-12周",http://www.jucs.org/jucs_info/aims
0178-2789,visual computer,可视化计算机,133,容易,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/371
1524-0703,graphical models,图形模型,20,容易,>12周，或约稿,https://www.sciencedirect.com/journal/graphical-models
0362-5915,acm transactions on database systems,数据库系统上的ACM事务,26,容易,>12周，或约稿,https://tods.acm.org/
1042-9832,random structures & algorithms,随机结构与算法,108,容易,"偏慢,4-8周",https://onlinelibrary.wiley.com/journal/10982418
1045-926X,journal of visual languages and computing,视觉语言与计算杂志,59,容易,"较慢,6-12周",https://www.journals.elsevier.com/journal-of-visual-languages-and-computing/
1544-3558,ACM TRANSACTIONS ON APPLIED PERCEPTION,应用知觉交流,26,容易,>12周，或约稿,https://dl.acm.org/citation.cfm?id=1870076&picked=prox
0018-8646,ibm journal of research and development,IBM研究与开发杂志,53,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=95bb2786&q=w
1751-8806,IET Software,IET软件,40,容易,>12周，或约稿,https://digital-library.theiet.org/content/journals/iet-sen
0037-5497,simulation-transactions of the society for modeling and simulation international,国际模拟与仿真学会模拟交易,79,容易,"较慢,6-12周",https://journals.sagepub.com/home/sim
1553-3077,ACM TRANSACTIONS ON STORAGE,ACM存储事务,40,容易,>12周，或约稿,https://tos.acm.org/
1473-8716,INFORMATION VISUALIZATION,信息可视化,22,容易,>12周，或约稿,https://journals.sagepub.com/home/ivi
1383-7621,journal of systems architecture,系统体系结构杂志,92,命中率约25%,平均6月,https://www.journals.elsevier.com/journal-of-systems-architecture/
2095-9184,Frontiers of Information Technology & Electronic Engineering,信息技术与电子工程前沿,324,容易,"较快,2-4周",https://www.springer.com/computer/journal/11714
1943-068X,IEEE Transactions on Computational Intelligence and AI in Games,计算智能与人工智能在游戏中的应用,34,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=a03f12158&q=w
1000-9000,journal of computer science and technology,计算机科学与技术杂志,101,容易,"偏慢,4-8周",https://www.springer.com/computer/journal/11390
1471-0684,theory and practice of logic programming,逻辑程序设计理论与实践,123,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=2a426762&q=w
1084-4309,acm transactions on design automation of electronic systems,电子系统设计自动化学报,68,容易,"较慢,6-12周",https://todaes.acm.org/
0934-5043,formal aspects of computing,计算的形式方面,43,容易,>12周，或约稿,https://link.springer.com/journal/165
0010-4620,computer journal,计算机期刊,130,命中率约20%,平均3月,https://academic.oup.com/comjnl
1548-3924,INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,国际数据仓储与挖掘杂志,16,容易,>12周，或约稿,https://www.igi-global.com/journal/international-journal-data-warehousing-mining/1085
0164-0925,acm transactions on programming languages and systems,ACM编程语言与系统汇刊,18,容易,>12周，或约稿,https://toplas.acm.org/
0167-6423,science of computer programming,计算机程序设计科学,77,容易,"较慢,6-12周",https://www.journals.elsevier.com/science-of-computer-programming/
0169-2968,fundamenta informaticae,信息基础,314,容易,"较快,2-4周",https://fi.mimuw.edu.pl/index.php/FI
0956-7968,journal of functional programming,功能规划杂志,25,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=2df06866&q=w
1546-4261,computer animation and virtual worlds,计算机动画和虚拟世界,57,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/1546427x
0178-4617,algorithmica,算法算法,314,容易,"较快,2-4周",http://algorithmica.co.in/
1820-0214,COMPUTER SCIENCE AND INFORMATION SYSTEMS,计算机科学与信息系统,51,容易,"较慢,6-12周",http://www.comsis.org/
1462-7264,discrete mathematics and theoretical computer science,离散数学与理论计算机科学,100,容易,"偏慢,4-8周",http://www.emis.de/journals/DMTCS/
0219-6913,international journal of wavelets multiresolution and information processing,国际小波多分辨与信息处理杂志,134,容易,"偏慢,4-8周",https://www.worldscientific.com/worldscinet/ijwmip
0929-5585,design automation for embedded systems,嵌入式系统设计自动化,14,容易,>12周，或约稿,https://link.springer.com/journal/10617
1745-1361,ieice transactions on information and systems,信息与系统交易,392,容易,"较快,2-4周",https://www.jstage.jst.go.jp/browse/transinf
1054-7460,presence-teleoperators and virtual environments,现场远程操作员和虚拟环境,13,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/pres
1545-7362,International Journal of Web Services Research,国际网络服务研究杂志,22,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=ab8a7497&q=w
0218-1940,international journal of software engineering and knowledge engineering,国际软件工程与知识工程杂志,132,容易,"偏慢,4-8周",https://www.worldscientific.com/worldscinet/ijseke
1389-6911,icga journal,ICGA期刊,28,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=64fd2791&q=w
1540-9589,JOURNAL OF WEB ENGINEERING,网络工程杂志,29,容易,>12周，或约稿,http://www.rintonpress.com/journals/jwe/
0361-7688,programming and computer software,程序设计与计算机软件,42,容易,>12周，或约稿,https://www.springer.com/computer/journal/11086
1063-8016,journal of database management,数据库管理杂志,16,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=6b4d3668&q=w
1089-778X,ieee transactions on evolutionary computation,进化计算汇刊,61,较难,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4235
2162-237X,IEEE Transactions on Neural Networks and Learning Systems,IEEE神经网络与学习系统汇刊,499,较难,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=dec412160&q=w
2168-7161,IEEE Transactions on Cloud Computing,翻译出错!,空,空,空,空
1566-2535,Information Fusion,信息融合,78,较难,"较慢,6-12周",https://www.journals.elsevier.com/information-fusion/
1556-6013,IEEE Transactions on Information Forensics and Security,IEEE信息取证与安全事务,428,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=10206
0360-0300,acm computing surveys,ACM计算调查,93,较难,"较慢,6-12周",https://csur.acm.org/
0167-739X,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF GRID COMPUTING AND ESCIENCE,未来一代计算机系统——国际网格计算与安全杂志,314,较易,"较快,2-4周",https://www.journals.elsevier.com/future-generation-computer-systems/
1045-9219,ieee transactions on parallel and distributed systems,并行和分布式系统的IEEE事务,506,命中率约25%,平均12月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=71
2210-6502,Swarm and Evolutionary Computation,群体与进化计算,59,,"较慢,6-12周",https://www.journals.elsevier.com/swarm-and-evolutionary-computation/
0737-0024,human-computer interaction,人机交互,17,较难,>12周，或约稿,https://www.tandfonline.com/toc/hhci20/current
1387-3326,information systems frontiers,信息系统前沿,92,一般,"较慢,6-12周",https://www.springer.com/business+&+management/business+information+systems/journal/10796
1063-6692,ieee-acm transactions on networking,IEEE ACM网络事务,1137,较难,"超快,1-2周",http://www.medsci.cn/sci/url.do?id=da482812&q=w
0001-0782,communications of the acm,ACM的通信,307,较难,"较快,2-4周",https://cacm.acm.org/
1615-3375,foundations of computational mathematics,计算数学基础,84,较难,"较慢,6-12周",https://link.springer.com/journal/10208
0308-1079,international journal of general systems,国际通用系统杂志,78,命中率约50%,平均6月,http://www.medsci.cn/sci/url.do?id=e7c01877&q=w
2325-6095,IEEE CLOUD COMPUTING,翻译出错!,空,空,空,空
1570-7873,Journal of Grid Computing,网格计算杂志,30,较易,>12周，或约稿,https://www.springer.com/computer/communication+networks/journal/10723
0165-0114,fuzzy sets and systems,模糊集与系统,378,较易,"较快,2-4周",https://www.elsevier.com/journals/fuzzy-sets-and-systems/0165-0114
0169-2607,computer methods and programs in biomedicine,生物医学中的计算机方法和程序,638,命中率约37.5%,平均4.6月,https://www.journals.elsevier.com/computer-methods-and-programs-in-biomedicine/
1063-6560,EVOLUTIONARY COMPUTATION,进化计算,23,较易,>12周，或约稿,https://www.mitpressjournals.org/loi/evco
0164-1212,journal of systems and software,系统与软件杂志,219,命中率约50%,平均3月,https://www.elsevier.com/journals/journal-of-systems-and-software/0164-1212
1758-0366,International Journal of Bio-Inspired Computation,国际生物启发计算杂志,49,较易,>12周，或约稿,https://www.inderscience.com/jhome.php?jcode=ijbic
1570-0844,Semantic Web,语义网,55,较易,"较慢,6-12周",https://www.w3.org/standards/semanticweb/
0020-7721,international journal of systems science,国际系统科学杂志,874,命中率约50%,平均6月,https://www.tandfonline.com/toc/tsys20/current
0262-8856,image and vision computing,图像与视觉计算,337,命中率约20%,平均6月,https://www.journals.elsevier.com/image-and-vision-computing/
0923-6082,multidimensional systems and signal processing,多维系统与信号处理,156,容易,"一般,3-8周",https://www.editorialmanager.com/mult/default.aspx
1551-6857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,多媒体计算通信与应用交流,62,较易,"较慢,6-12周",https://tomm.acm.org/
1094-3420,international journal of high performance computing applications,国际高性能计算应用杂志,41,较易,>12周，或约稿,https://journals.sagepub.com/home/hpc
1942-4787,WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,威利跨学科回顾-数据挖掘和知识发现,24,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=515b12120&q=w
1877-7503,JOURNAL OF COMPUTATIONAL SCIENCE,计算科学杂志,141,,"偏慢,4-8周",https://www.journals.elsevier.com/journal-of-computational-science/
1070-986X,ieee multimedia,ieee多媒体杂志,46,较易,>12周，或约稿,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=93
0960-3174,statistics and computing,统计与计算,204,容易,"一般,3-6周",https://www.springer.com/statistics/journal/11222
0743-7315,journal of parallel and distributed computing,并行与分布式计算杂志,171,容易,平均3月,https://www.journals.elsevier.com/journal-of-parallel-and-distributed-computing/
